arm,mode,region,lead_days,velocity_second_moment_ratio,velocity_normalized_rmse,ssh_physical_rmse,sst_physical_rmse,fixed_oracle_ts_rmse,fixed_oracle_rmse_gap_closed_pct
F,inferred,extratropics,30,0.9171895022224767,0.532914321331272,0.03625601939199243,0.5556412459013215,0.042377570737944945,11.125222126692382
untuned,frozen_pretrain,global,5,0.9276993919802171,0.44987472734226736,0.02116492296652794,0.29831724114831787,0.019210320833072884,0.0
untuned,frozen_pretrain,global,10,0.9197190652350052,0.46981645695362223,0.02390552715035801,0.3618342361234735,0.025075919856276524,0.0
untuned,frozen_pretrain,global,15,0.9198743213598018,0.4897011037877578,0.02699369537338881,0.41647436344435546,0.03071652603243807,0.0
untuned,frozen_pretrain,global,20,0.9195984142062315,0.5097101289038192,0.02890325397543166,0.4572505597642146,0.03495350292338484,0.0
untuned,frozen_pretrain,global,25,0.9189640510859607,0.5274528009621536,0.030642274498559566,0.49254779050780556,0.03884485170881658,0.0
untuned,frozen_pretrain,global,30,0.9186083562580228,0.5445669810554692,0.03243137385735694,0.5252177454059094,0.04224222808205065,0.0
untuned,frozen_pretrain,tropics,5,0.9270932221333185,0.4864425275476355,0.011502569135586836,0.26054160177309804,0.01952611093692313,0.0
untuned,frozen_pretrain,tropics,10,0.9153500725685358,0.49562186015545584,0.013995329454713193,0.31862175691161065,0.02561090487847409,0.0
untuned,frozen_pretrain,tropics,15,0.9147467620388462,0.5038290999739233,0.016398721554071752,0.3637554903277123,0.031249325973887715,0.0
untuned,frozen_pretrain,tropics,20,0.9158789500806347,0.5146886689816073,0.01835377221414425,0.39930592972700624,0.03534441770244866,0.0
untuned,frozen_pretrain,tropics,25,0.9147203057108231,0.5244995216752505,0.019633445795499666,0.4274742104492593,0.038964144024329454,0.0
untuned,frozen_pretrain,tropics,30,0.916386652452246,0.5346948358881217,0.02100561014150338,0.4530363464527457,0.042145340090050255,0.0
untuned,frozen_pretrain,extratropics,5,0.9285998622759258,0.42768288536420723,0.025101513852748638,0.31807971679388564,0.019060527263926187,0.0
untuned,frozen_pretrain,extratropics,10,0.9248341781800782,0.45521188153552605,0.028074974604976127,0.3845656025213067,0.024807759578743357,0.0
untuned,frozen_pretrain,extratropics,15,0.9258509767602995,0.48286171354287644,0.03152677683934588,0.44405540073005917,0.03045964382093733,0.0
untuned,frozen_pretrain,extratropics,20,0.9239309091179572,0.5087451763163214,0.03351211497191572,0.48756232601162364,0.03478859726988819,0.0
untuned,frozen_pretrain,extratropics,25,0.9238593226970918,0.5314462936437796,0.03547271889482938,0.5264492097182913,0.03884760346712425,0.0
untuned,frozen_pretrain,extratropics,30,0.9211892561786862,0.5527757194919269,0.03747126605501522,0.562670228253696,0.042377570737944945,0.0
wave1,wave1_joint,global,5,0.9172687244977653,0.4495035303340695,0.021134596023071668,0.2859071166997742,0.019210320833072884,4.561262029373689
wave1,wave1_joint,global,10,0.9087832849122549,0.46580932606170394,0.02356982751547898,0.3470449781066978,0.025075919856276524,5.745152904319799
wave1,wave1_joint,global,15,0.9087542180955336,0.4826167631081347,0.026341972942117035,0.4025766600683994,0.03071652603243807,7.457699872469312
wave1,wave1_joint,global,20,0.9091382951453783,0.49934215020299705,0.028207887435904275,0.443181561176272,0.03495350292338484,8.546756859282572
wave1,wave1_joint,global,25,0.9100363381717647,0.5143428438669958,0.02960281777254737,0.47894660635975356,0.03884485170881658,9.64033088790804
wave1,wave1_joint,global,30,0.9111693985574043,0.5287056310538655,0.031423797493740385,0.5128572476327382,0.04224222808205065,10.385156855164388
wave1,wave1_joint,tropics,5,0.9053229506132897,0.48905034431923716,0.011329194622040248,0.2455723947823304,0.01952611093692313,5.759344673194321
wave1,wave1_joint,tropics,10,0.8925395164818007,0.4957329796675386,0.013506324932845605,0.29577576142039,0.02561090487847409,7.588203300277837
wave1,wave1_joint,tropics,15,0.8899538246647792,0.5028889519015957,0.015618571324090702,0.3408090823037594,0.031249325973887715,9.974478119767827
wave1,wave1_joint,tropics,20,0.8904589129029518,0.5123758695004792,0.0172478910157486,0.3755956683795896,0.03534441770244866,11.495229166615486
wave1,wave1_joint,tropics,25,0.8900995809319086,0.521595935060829,0.01839808887811094,0.40422650909093566,0.038964144024329454,12.975637038188927
wave1,wave1_joint,tropics,30,0.892786417103949,0.5308995969738682,0.01963619746885083,0.4316760817990368,0.042145340090050255,13.90644055756455
wave1,wave1_joint,extratropics,5,0.9309259009502948,0.42519533263166376,0.025106713595855056,0.3067774674385704,0.019060527263926187,3.9277365994364097
wave1,wave1_joint,extratropics,10,0.9273674879570534,0.44840584860642374,0.027763834631303913,0.3734392608814522,0.024807759578743357,4.819960694453311
wave1,wave1_joint,extratropics,15,0.93033728829223,0.4717907623916341,0.03087933601487243,0.4342382785044721,0.03045964382093733,6.2392947010144475
wave1,wave1_joint,extratropics,20,0.9304877633047522,0.4933146569856827,0.032911264713362934,0.4778500575920355,0.03478859726988819,7.151480372749362
wave1,wave1_joint,extratropics,25,0.9327811659141617,0.5120910267942469,0.034448037723363516,0.5171726816230177,0.03884760346712425,8.086399248007805
wave1,wave1_joint,extratropics,30,0.9320431400732354,0.5296721497499483,0.0365341791951351,0.5543168403761427,0.042377570737944945,8.760225225866535
