reference,candidate,region,lead_days,variable,origins,years,bootstrap_draws,reference_rmse,candidate_rmse,candidate_minus_reference_rmse,difference_ci_low,difference_ci_high,rmse_reduction_percent,reduction_ci_low,reduction_ci_high
A,D,tropics,20,uo,99,9,4000,0.5287062145202999,0.49248696947087445,-0.03621924504942542,-0.040026195328529475,-0.03257864220415169,6.8505427125133185,6.209526371895817,7.535847190955231
A,D,tropics,20,vo,99,9,4000,0.5361077503037647,0.5005543219598378,-0.03555342834392683,-0.0372831532263062,-0.03393789433433289,6.631769140397958,6.327540702174856,6.953030363432384
A,D,tropics,20,zos,99,9,4000,0.025276870884990543,0.02517314051080928,-0.00010373037418126216,-0.00032414507914692314,0.0001033624317532414,0.41037664295250353,-0.4158222232148332,1.2566811883944167
A,D,tropics,25,so,99,9,4000,0.07090243959569098,0.06552333377855951,-0.005379105817131469,-0.006094728438817936,-0.004823954640384678,7.586630090311274,6.795700509703699,8.571686494562863
A,D,tropics,25,sst,99,9,4000,0.033912446134634046,0.033672935622602006,-0.0002395105120320401,-0.00039658839769567134,-7.128897343806095e-05,0.7062613858085376,0.20912045544448124,1.171574265563571
A,D,tropics,25,thetao,99,9,4000,0.05957563958033421,0.05363402449175197,-0.005941615088582243,-0.0067854014768114765,-0.005179266391878595,9.973229209852342,8.727270990074953,11.344825961726485
A,D,tropics,25,ts,99,9,4000,0.0654843980350529,0.059874518171916705,-0.0056098798631362,-0.006368002287991559,-0.004961854652020836,8.566742661562387,7.63286317850867,9.68165351389304
A,D,tropics,25,uo,99,9,4000,0.5340858287522567,0.5011909960070796,-0.03289483274517713,-0.03688737717927193,-0.02918039159614484,6.159091100025393,5.502089796482697,6.868291012699166
A,D,tropics,25,vo,99,9,4000,0.5455597619642399,0.5135803209385997,-0.03197944102564021,-0.03383938027215752,-0.030011871492119813,5.861766804520374,5.483362767758602,6.2147743316016175
A,D,tropics,25,zos,99,9,4000,0.026788142940798454,0.026727659115581264,-6.0483825217189785e-05,-0.0002595727501204655,0.00015349626266486713,0.22578580885901367,-0.5763731538834026,0.956862490928631
A,D,tropics,30,so,99,9,4000,0.07146536929323324,0.06645815225962733,-0.005007217033605918,-0.005732873523761943,-0.004457633729605607,7.006494310636735,6.2247011679297435,7.989177422649126
