model,region,lead_days,variable,normalized_mse,normalized_rmse
blur9_truth,global,15,zos,0.011550037989938455,0.10747110304606748
blur9_truth,global,20,so,0.02458291970190782,0.15678941195727414
blur9_truth,global,20,sst,0.0074919494941378595,0.08655604828166463
blur9_truth,global,20,thetao,0.015797297124814626,0.12568729897970846
blur9_truth,global,20,velocity,0.8892876316517481,0.9430204831559854
blur9_truth,global,20,zos,0.011795970404313624,0.10860925561071498
blur9_truth,global,25,so,0.02471573246406646,0.1572123801234065
blur9_truth,global,25,sst,0.009487528189301746,0.09740394339708093
blur9_truth,global,25,thetao,0.01610845060131636,0.1269190710701759
blur9_truth,global,25,velocity,0.8928460213556244,0.9449052975592974
blur9_truth,global,25,zos,0.01196195443885189,0.10937072020816124
blur9_truth,global,30,so,0.02486828406863598,0.1576968105848561
blur9_truth,global,30,sst,0.01189377734606911,0.1090585959292944
blur9_truth,global,30,thetao,0.016479507655450892,0.12837253466162804
blur9_truth,global,30,velocity,0.8970942232027008,0.9471505810602139
blur9_truth,global,30,zos,0.012259605782802612,0.11072310410570421
blur9_truth,tropics,0,so,0.01711495363650552,0.13082413246991367
blur9_truth,tropics,0,sst,0.0011375526141497142,0.03372762390311115
blur9_truth,tropics,0,thetao,0.020357969041726078,0.1426813549197164
blur9_truth,tropics,0,velocity,0.707930021174153,0.8413857742879618
blur9_truth,tropics,0,zos,0.0029898602586013326,0.054679614653006955
blur9_truth,tropics,5,so,0.017167494627847578,0.13102478631101666
blur9_truth,tropics,5,sst,0.0013367190934726566,0.036561169202757406
blur9_truth,tropics,5,thetao,0.02042190653268571,0.14290523619757853
blur9_truth,tropics,5,velocity,0.7604992764624176,0.872066096383994
blur9_truth,tropics,5,zos,0.003209372246261602,0.05665132166385531
blur9_truth,tropics,10,so,0.017268543750798237,0.13140983125625813
blur9_truth,tropics,10,sst,0.0017535292962095172,0.04187516323800442
blur9_truth,tropics,10,thetao,0.02055474921195229,0.14336927569026875
blur9_truth,tropics,10,velocity,0.7847688873157357,0.8858718232993618
blur9_truth,tropics,10,zos,0.0034849736533795112,0.059033665423887674
blur9_truth,tropics,15,so,0.017396474040047367,0.13189569378887003
blur9_truth,tropics,15,sst,0.0022985509048789343,0.047943204991728855
blur9_truth,tropics,15,thetao,0.020733638360506287,0.14399179962937572
blur9_truth,tropics,15,velocity,0.8006930555524439,0.8948145369586057
blur9_truth,tropics,15,zos,0.003747433595679122,0.061216285379620365
blur9_truth,tropics,20,so,0.017541242901755398,0.132443357333448
blur9_truth,tropics,20,sst,0.002946209655180901,0.05427899828829656
blur9_truth,tropics,20,thetao,0.020931084604328083,0.14467579135545824
blur9_truth,tropics,20,velocity,0.8126005355044922,0.901443584205075
blur9_truth,tropics,20,zos,0.003987725734748274,0.06314844206113301
blur9_truth,tropics,25,so,0.017702501935592557,0.13305074947399792
blur9_truth,tropics,25,sst,0.003699623471633908,0.06082453018013299
blur9_truth,tropics,25,thetao,0.021142138903814202,0.1454033662052368
blur9_truth,tropics,25,velocity,0.8211167605473981,0.9061549318672818
blur9_truth,tropics,25,zos,0.004186144618392694,0.06470042208821125
blur9_truth,tropics,30,so,0.017891572914922986,0.1337593843994618
blur9_truth,tropics,30,sst,0.004592933661464293,0.06777118607095713
blur9_truth,tropics,30,thetao,0.021382976243534735,0.14622919080516972
blur9_truth,tropics,30,velocity,0.8314050805102885,0.9118141699437932
blur9_truth,tropics,30,zos,0.00448436933014575,0.06696543384572186
climatology,extratropics,0,so,0.006062274661447591,0.07786061046156516
