split,variant,seed,region,lead_step,method,weighted_squared_error,weight,weighted_bias_u,weighted_bias_v,vector_rmse_m_per_s,bias_u_m_per_s,bias_v_m_per_s,forecast_dates,minimum_valid_cells,maximum_valid_cells,minimum_lead_days,maximum_lead_days
test,D4,16,north_pacific_gyre,6,persistence,2683.002429962158,105038.52392578125,93.50908341124715,-7.438561227120826,0.15982187740088463,0.0008902360764067796,-7.081745772033896e-05,118,12775,12775,30.0,30.0
test,D4,16,north_pacific_gyre,6,samudra,1445.453893661499,105038.52392578125,-126.97309000799876,1681.3055239220414,0.1173080502671831,-0.0012088240129661016,0.016006560841525422,118,12775,12775,30.0,30.0
test,D4,16,north_pacific_gyre,6,seasonal_climatology,2044.8583793640137,105038.52392578125,968.2941519399504,221.71797424007602,0.1395266967855509,0.00921846686101695,0.0021108253044067795,118,12775,12775,30.0,30.0
test,D4,16,southern_ocean,1,damped_linear,9246.173149108887,851759.26171875,17.29458757987443,-0.8116545709998385,0.10418917008791262,2.0304548899152548e-05,-9.529154627118643e-07,118,139797,139797,5.0,5.0
test,D4,16,southern_ocean,1,persistence,10145.525291442871,851759.26171875,22.50308557188421,-1.3079906690641514,0.1091387151301192,2.6419537283898306e-05,-1.5356342194915263e-06,118,139797,139797,5.0,5.0
test,D4,16,southern_ocean,1,samudra,3242.6342277526855,851759.26171875,-1255.2180841776524,1837.2842395928417,0.06170076504265746,-0.0014736770594601695,0.0021570463887711864,118,139797,139797,5.0,5.0
test,D4,16,southern_ocean,1,seasonal_climatology,38378.67468261719,851759.26171875,-699.2870777681286,-26.34620726972746,0.2122689904188691,-0.000820991457559322,-3.093151839237288e-05,118,139797,139797,5.0,5.0
test,D4,16,southern_ocean,2,damped_linear,28721.734939575195,851759.26171875,30.60289509302228,-2.1319015465169544,0.18363138198462362,3.592904294491525e-05,-2.5029390842372854e-06,118,139797,139797,10.0,10.0
test,D4,16,southern_ocean,2,persistence,26430.91111755371,851759.26171875,41.01990895171523,-3.12457084420987,0.17615607895614507,4.8159040699999995e-05,-3.668373194915255e-06,118,139797,139797,10.0,10.0
test,D4,16,southern_ocean,2,samudra,10034.049377441406,851759.26171875,-2792.6787724657315,4222.380330554636,0.10853746765685399,-0.003278718410211865,0.004957246161355932,118,139797,139797,10.0,10.0
test,D4,16,southern_ocean,2,seasonal_climatology,38417.165435791016,851759.26171875,-695.0351280159733,-28.392787679988118,0.2123754081866458,-0.0008159994956949152,-3.3334286994067796e-05,118,139797,139797,10.0,10.0
test,D4,16,southern_ocean,4,damped_linear,59543.43325805664,851759.26171875,56.958622596563565,-0.7087240911506738,0.2643982058869519,6.687173847881356e-05,-8.32070894915251e-07,118,139797,139797,20.0,20.0
test,D4,16,southern_ocean,4,persistence,44449.790435791016,851759.26171875,77.79262198429205,-2.694050286798409,0.22844224871501606,9.133170072881355e-05,-3.1629245584745766e-06,118,139797,139797,20.0,20.0
test,D4,16,southern_ocean,4,samudra,22482.794998168945,851759.26171875,-4782.755144340143,8219.82508401155,0.16246758238331663,-0.0056151489737711864,0.009650408810847458,118,139797,139797,20.0,20.0
test,D4,16,southern_ocean,4,seasonal_climatology,38510.492614746094,851759.26171875,-686.6850215864948,-27.713939306966473,0.21263321449055514,-0.0008061961312881357,-3.2537291406779665e-05,118,139797,139797,20.0,20.0
test,D4,16,southern_ocean,6,damped_linear,87545.9306640625,851759.26171875,89.84279381741608,0.8430735902915178,0.3205970705139114,0.00010547909233898307,9.898026686440656e-07,118,139797,139797,30.0,30.0
test,D4,16,southern_ocean,6,persistence,53500.470703125,851759.26171875,121.09379156181896,-2.134933931189193,0.2506226796819588,0.00014216903414406782,-2.5064992271186434e-06,118,139797,139797,30.0,30.0
test,D4,16,southern_ocean,6,samudra,30642.656631469727,851759.26171875,-6175.200017527522,11575.301485623613,0.18967267754604628,-0.0072499358622372875,0.01358987451720339,118,139797,139797,30.0,30.0
test,D4,16,southern_ocean,6,seasonal_climatology,38599.453125,851759.26171875,-671.6993691548756,-26.19814796178448,0.2128786676963058,-0.000788602366118644,-3.0757690745762716e-05,118,139797,139797,30.0,30.0
test,D4,17,global_outside_5deg,1,damped_linear,27433.24774169922,3845924.107421875,-96.93379259633457,14.2399168461144,0.0844575069837466,-2.5204291579563796e-05,3.702599543926041e-06,118,624489,624500,5.0,5.0
test,D4,17,global_outside_5deg,1,persistence,31544.43113708496,3845924.107421875,-131.30033182287653,14.999974189893774,0.09056512585202303,-3.414012553432679e-05,3.900226257961456e-06,118,624489,624500,5.0,5.0
test,D4,17,global_outside_5deg,1,samudra,12967.510551452637,3845924.107421875,10842.905683749315,6750.350900107332,0.05806680760325442,0.002819323881827165,0.0017551960755233017,118,624489,624500,5.0,5.0
test,D4,17,global_outside_5deg,1,seasonal_climatology,140708.361328125,3845924.107421875,-2012.4686375502622,893.7283722568222,0.19127561089773085,-0.0005232731019487864,0.0002323832575198514,118,624489,624500,5.0,5.0
