model,region,channel,mse,mean_bias_mse,amplitude_mse,pattern_mse,prediction_temporal_variance,target_temporal_variance
original,tropics,uo_14,0.325847257514518,0.016548257528613605,0.03421761822970252,0.27508138175620184,0.3186991619498139,0.5085349160426602
original,tropics,uo_15,0.34005458812964495,0.021555620664834997,0.04110440678667415,0.2773945606781357,0.2953156096355168,0.501116711400031
original,tropics,uo_16,0.3288650050088343,0.03333126473876099,0.04170968789750779,0.2538240523725655,0.24907840523863775,0.43534307809436895
original,tropics,uo_17,0.2654798826941,0.02294016788669407,0.03591134060618088,0.2066283742012251,0.18302179397640173,0.32277875703858905
original,tropics,uo_18,0.18987189558192186,0.016475225951249596,0.027168694192868017,0.14622797543780425,0.11315009723948578,0.2107163107708395
original,tropics,vo_0,0.2424942236131416,0.011220181061496968,0.017764893876385728,0.2135091486752589,0.7953197945248301,0.9554508471616625
original,tropics,vo_1,0.23499085773423378,0.01033789530078892,0.01930851842671619,0.2053444440067287,0.8301084408303334,1.0048866057568693
original,tropics,vo_2,0.18266728601148655,0.009253564573186752,0.015090008156904576,0.1583237132813952,0.8315825265320108,0.9761045328816207
original,tropics,vo_3,0.17137714587455347,0.007792090710903973,0.015839257565164612,0.14774579759848488,0.7886328568551465,0.9341669793568357
original,tropics,vo_4,0.1722488991915219,0.007448213456361002,0.01707726485820212,0.14772342087695878,0.6721315735818715,0.808585290282726
original,tropics,vo_5,0.19036562698672313,0.008173967219051004,0.02409321431392161,0.1580984454537505,0.43402694686407844,0.5747196226301562
original,tropics,vo_6,0.18439056261086761,0.008198491056552513,0.02658781513147742,0.14960425642283767,0.2342588144605403,0.35954933682992773
original,tropics,vo_7,0.17114298497437386,0.006439747174381552,0.02735288968270981,0.13735034811728253,0.1719660111659574,0.28900963729383616
original,tropics,vo_8,0.17564788030451178,0.0058838353676636855,0.02866847532893899,0.1410955696079091,0.15583243391188767,0.2773016387718543
original,tropics,vo_9,0.1896717995397988,0.0059098303905535466,0.03071396307191959,0.15304800607732563,0.15113253881048846,0.28091789708255527
