model,region,box_width_cells,channel,prediction_anomaly_energy,target_anomaly_energy,cross_anomaly_moment,anomaly_mse
original,tropics,0,so_15,0.001125396810227422,5.5936894734093755e-05,1.070952765542877e-05,0.0011599146334143977
original,tropics,0,so_16,0.0019368891324377574,0.0005280300980725448,0.00014965411078218945,0.002165611017250804
original,tropics,0,so_17,0.0034690959769479858,0.00536903872088802,0.002035869062040942,0.004766396634901564
original,tropics,0,so_18,0.0027022683532024277,0.005779714761019657,0.002439562747821758,0.003602857667378931
original,tropics,0,zos,0.004469632891928683,0.004469632891928683,0.004469632891928683,0.0
original,extratropics,0,uo_0,0.19540592967861833,0.25310816683552484,0.18729969693554774,0.07391470125076748
original,extratropics,0,uo_1,0.21271877231621986,0.25234949814550806,0.2031467982915917,0.05877467184656799
original,extratropics,0,uo_2,0.23761406284992143,0.27661213971147636,0.22864959321238779,0.056927016964464484
original,extratropics,0,uo_3,0.2520037501147299,0.29092569724477907,0.243601316905985,0.055726816106324246
original,extratropics,0,uo_4,0.23440780678782802,0.26930685807960203,0.2266697937791998,0.05037507907760264
original,extratropics,0,uo_5,0.24032870070500809,0.27443262934684753,0.2317166328430176,0.05132807614375847
original,extratropics,0,uo_6,0.3044067585107052,0.3512334615895243,0.2944187819957733,0.06680265554424489
original,extratropics,0,uo_7,0.44455377983324457,0.5171812218849106,0.4298797114328905,0.10197557975547483
original,extratropics,0,uo_8,0.49686046953153135,0.5848237492821434,0.47987667508799625,0.12193086382114528
original,extratropics,0,uo_9,0.4842617385315173,0.5743040297970627,0.4658444523811341,0.1268768704900838
original,extratropics,0,uo_10,0.45267911240307973,0.5512240336398886,0.43552847342057666,0.1328461965677714
original,extratropics,0,uo_11,0.430210295048627,0.5354142423832056,0.41167484630237927,0.14227484723534248
original,extratropics,0,uo_12,0.40390479263633194,0.5186777786173002,0.38178235382744763,0.15901786871630738
original,extratropics,0,uo_13,0.38299921094769185,0.5088634590307872,0.35150210183076186,0.18885846842419018
original,extratropics,0,uo_14,0.4031272422183644,0.5589638156722291,0.35775985681649414,0.24657134621432336
original,extratropics,0,uo_15,0.4402245593191398,0.6399980259664132,0.37342697080939713,0.33336864727916143
original,extratropics,0,uo_16,0.47379183949846215,0.7423160214616795,0.38638014353887,0.4433475660555291
original,extratropics,0,uo_17,0.439565124836835,0.7083539565404257,0.3426026771164904,0.46271372232774294
original,extratropics,0,uo_18,0.3616372675004632,0.6315502659841018,0.2920331053360544,0.40912131950108693
original,extratropics,0,vo_0,0.4959714304317128,0.5564309150883646,0.4804013603263432,0.09159962968392807
original,extratropics,0,vo_1,0.4985064150709095,0.5336402862360984,0.48425788018438554,0.06363094007276526
original,extratropics,0,vo_2,0.5340357814172302,0.5682255746138217,0.523298125977468,0.05566511141380879
original,extratropics,0,vo_3,0.5754635430345633,0.605737510955695,0.5661245783170065,0.04895189697995331
original,extratropics,0,vo_4,0.6011336012320085,0.6263506749663691,0.5908481900138085,0.04578790689508121
original,extratropics,0,vo_5,0.6473734830365037,0.6775903442893366,0.6379252166459055,0.04911338545457282
original,extratropics,0,vo_6,0.7182466694802949,0.7531983551352915,0.7070022941839816,0.057440427028470575
original,extratropics,0,vo_7,0.7651915411756497,0.8056551513045725,0.7521539745908795,0.06653875436144646
original,extratropics,0,vo_8,0.7867354154586793,0.8327185818643281,0.7720807068275684,0.07529256936877665
original,extratropics,0,vo_9,0.7809814226747764,0.836404855203147,0.7674469646781382,0.08249235341344217
original,extratropics,0,vo_10,0.75536051964519,0.8253935870498118,0.7438182716417795,0.09311758109716455
original,extratropics,0,vo_11,0.724901693637925,0.8150035805172391,0.7150870513434363,0.10973115920117409
original,extratropics,0,vo_12,0.6799128970714531,0.7890827481192773,0.6651848915851478,0.13862586593387105
original,extratropics,0,vo_13,0.6331869869521171,0.7684438066049056,0.6050806358607129,0.19146951897577807
original,extratropics,0,vo_14,0.6087731243384006,0.7861530840998949,0.5636837678124207,0.2675586780815414
original,extratropics,0,vo_15,0.5901483875332457,0.8167668069251861,0.5189889097454572,0.3689373824933563
original,extratropics,0,vo_16,0.5566429098447164,0.8365146409381521,0.46646210400745125,0.46023334939070426
original,extratropics,0,vo_17,0.513214781729862,0.7919498995096997,0.41767744524310335,0.4698097958709255
original,extratropics,0,vo_18,0.4471382968353503,0.7350324311039665,0.3733967064004956,0.43537731814866115
original,extratropics,0,thetao_0,0.0053585917016284335,0.0053585917016284335,0.0053585917016284335,0.0
original,extratropics,0,thetao_1,0.00520328224185064,0.005179200634228612,0.004753737040146282,0.0008750088210688021
original,extratropics,0,thetao_2,0.004781588434589782,0.0047110915724940675,0.003899546071999904,0.0016935878901300258
original,extratropics,0,thetao_3,0.004275687934943673,0.004486373715065044,0.002859681221477763,0.003042699183534944
original,extratropics,0,thetao_4,0.0039128244671067505,0.004668304851899545,0.0023828188905191394,0.0038154915638380885
original,extratropics,0,thetao_5,0.00420379969573608,0.005514092470585096,0.0026036718615678827,0.0045105484196671635
original,extratropics,0,thetao_6,0.005205791617621376,0.007860974488648202,0.0038002588518076777,0.005466248520245456
original,extratropics,0,thetao_7,0.007192349903323133,0.011526699234364612,0.006068336819721894,0.006582375535873151
original,extratropics,0,thetao_8,0.009907772435308106,0.01586277766924615,0.00886920319324491,0.008032144023801643
