reference,candidate,region,lead_days,variable,origins,years,bootstrap_draws,reference_rmse,candidate_rmse,candidate_minus_reference_rmse,difference_ci_low,difference_ci_high,rmse_reduction_percent,reduction_ci_low,reduction_ci_high
C,D,extratropics,30,thetao,99,9,4000,0.07517982032093887,0.07352913449051131,-0.001650685830427559,-0.0019542970263412224,-0.0013070841151459878,2.1956501403978645,1.721733133752402,2.606935453217587
C,D,extratropics,30,ts,99,9,4000,0.0744266203699173,0.07248958301969254,-0.0019370373502247684,-0.002214325229375577,-0.0016234014948402666,2.6026136086755636,2.1601673781520705,2.999028201569936
C,D,extratropics,30,uo,99,9,4000,0.5007529195688278,0.4883400960260313,-0.012412823542796547,-0.012935702479741285,-0.011892621682195518,2.4788319863386032,2.3657883056717766,2.581923835559599
C,D,extratropics,30,vo,99,9,4000,0.5966147362720662,0.5880224754648159,-0.008592260807250285,-0.010103032578348495,-0.0071691105801634375,1.4401690546463564,1.2051629514855602,1.6933832371902238
C,D,extratropics,30,zos,99,9,4000,0.054337212559352414,0.05410255017144248,-0.00023466238790993688,-0.00036915022716477815,-0.00010838695221638806,0.4318631318336652,0.1986045492241051,0.6791251701155939
C,D,global,0,so,99,9,4000,0.06700578910324466,0.06442799428134449,-0.0025777948219001673,-0.0027964123453654314,-0.0023882726204189353,3.847122549259463,3.532518596108758,4.190662100251824
C,D,global,0,sst,99,9,4000,0.0,0.0,0.0,0.0,0.0,,,
C,D,global,0,thetao,99,9,4000,0.06299906257867757,0.06164497541688465,-0.0013540871617929232,-0.0016907598680514072,-0.00101131295708641,2.1493766833464267,1.6161921689794319,2.685098131154463
C,D,global,0,ts,99,9,4000,0.06503329016411759,0.06305184153244561,-0.0019814486316719754,-0.002234212887643216,-0.0017308781327958953,3.0468220609346397,2.659339729528569,3.43886372597595
C,D,global,0,uo,99,9,4000,0.44016664560264807,0.39360827924486463,-0.04655836635778343,-0.04815563771706877,-0.044950043464452805,10.577440799504167,10.266641329043487,10.882712087843615
C,D,global,0,vo,99,9,4000,0.4407884348592112,0.39829576471297323,-0.042492670146237976,-0.043459636645361864,-0.041613998621336246,9.640150871882614,9.46002498626412,9.832091000191078
C,D,global,0,zos,99,9,4000,0.0,0.0,0.0,0.0,0.0,,,
C,D,global,5,so,99,9,4000,0.06800732510067674,0.06546870103695229,-0.0025386240637244456,-0.002765094066897497,-0.0023288061897707227,3.732868569622927,3.4018041321376415,4.082257096713263
C,D,global,5,sst,99,9,4000,0.02349819001443789,0.024521685400170794,0.0010234953857329032,0.0009253979377618039,0.0011197310898652013,-4.3556349876481715,-4.77363563458438,-3.950526535642688
C,D,global,5,thetao,99,9,4000,0.06364381856897423,0.062101667585917605,-0.0015421509830566282,-0.0018772311971455798,-0.0011936045057434463,2.423096253071799,1.8890453674364192,2.949533114230664
C,D,global,5,ts,99,9,4000,0.06586171843107969,0.06380739742544604,-0.002054321005633644,-0.002311792925505835,-0.001792707793466035,3.119142735067515,2.7161996643922706,3.5164453580845834
C,D,global,5,uo,99,9,4000,0.44365634263974896,0.41006937684475375,-0.033586965794995205,-0.03507155411858448,-0.032190173581588405,7.570491519438949,7.304872290778149,7.8373897158410815
C,D,global,5,vo,99,9,4000,0.45256849753173606,0.4281042214999286,-0.024464276031807453,-0.02540524637478145,-0.023578120580400746,5.405651556666713,5.2275160157656595,5.593858553298753
C,D,global,5,zos,99,9,4000,0.030926686855312812,0.030439958002453762,-0.0004867288528590495,-0.0007599763177098984,-0.00023502166490860457,1.5738150521462546,0.7705857482297308,2.4053588924349527
