reference,candidate,region,lead_days,variable,origins,years,bootstrap_draws,reference_rmse,candidate_rmse,candidate_minus_reference_rmse,difference_ci_low,difference_ci_high,rmse_reduction_percent,reduction_ci_low,reduction_ci_high
A-s2718,D-s2718,global,5,ts,99,9,4000,0.07270981223327005,0.06383973614101329,-0.008870076092256762,-0.009646742107557926,-0.00807888394796272,12.199283452692033,10.949278002774594,13.420129867867248
A-s2718,D-s2718,global,5,uo,99,9,4000,0.46413080138968804,0.4151298810124816,-0.049000920377206436,-0.050772615317600876,-0.047345688389002834,10.557567011387558,10.271509153928408,10.850777247792488
A-s2718,D-s2718,global,5,vo,99,9,4000,0.46689646993943124,0.4333005993871067,-0.03359587055232455,-0.0343328818846327,-0.03283192085801884,7.195571762768482,7.061777908201822,7.317054631963083
A-s2718,D-s2718,global,5,zos,99,9,4000,0.03126677630222208,0.03027754608651678,-0.000989230215705298,-0.0011795049035022512,-0.0007933126282944449,3.1638382100651508,2.528953827767196,3.767291803695034
A-s2718,D-s2718,global,10,so,99,9,4000,0.07525991903972183,0.0663945156396993,-0.008865403400022537,-0.009616948583484958,-0.008157939595696766,11.779714239851124,10.704297705794284,12.903076200229405
A-s2718,D-s2718,global,10,sst,99,9,4000,0.029865990045433832,0.029488011842608144,-0.00037797820282568784,-0.000458525137659079,-0.0003019958535934106,1.2655806897768573,1.005210699569859,1.5417670657036116
A-s2718,D-s2718,global,10,thetao,99,9,4000,0.07069245814440822,0.06296632237435341,-0.007726135770054807,-0.008471901453772836,-0.0068900966022739695,10.929222116271742,9.575917951490919,12.16991698897972
A-s2718,D-s2718,global,10,ts,99,9,4000,0.07301191359074351,0.06470312766930694,-0.008308785921436565,-0.009059298948887535,-0.007541678274226676,11.38004130121849,10.173920525706956,12.546065448017691
A-s2718,D-s2718,global,10,uo,99,9,4000,0.4724674454991242,0.43340608653360424,-0.03906135896551993,-0.04081475622602493,-0.037385302767638635,8.267523897705741,7.970040974147786,8.56574148185647
A-s2718,D-s2718,global,10,vo,99,9,4000,0.49166283723773335,0.46543766443859286,-0.026225172799140495,-0.026837351194807832,-0.02561796862149004,5.333974995238422,5.230822852574436,5.443196205969252
A-s2718,D-s2718,global,10,zos,99,9,4000,0.03526611216222553,0.034251897353499434,-0.0010142148087260924,-0.001193106103590537,-0.0008206767062367007,2.875890611532861,2.307835132170029,3.3997528443829452
A-s2718,D-s2718,global,15,so,99,9,4000,0.07578293705482668,0.06742930124324194,-0.008353635811584742,-0.00909453113384738,-0.007632443658159668,11.023109074726333,9.943111703703334,12.11515528816692
A-s2718,D-s2718,global,15,sst,99,9,4000,0.03479474308991988,0.03449570560480788,-0.0002990374851120012,-0.0003563252005489671,-0.00023613484383124673,0.8594329446238502,0.6783174347359885,1.0238205531569065
A-s2718,D-s2718,global,15,thetao,99,9,4000,0.07154770370899266,0.06422798438119716,-0.007319719327795501,-0.008049908033278135,-0.0064975909176695785,10.23054402635637,8.93227218450761,11.41876890252845
A-s2718,D-s2718,global,15,ts,99,9,4000,0.0736957510806614,0.06584810036676521,-0.00784765071389619,-0.008583066842528632,-0.0070832644954505215,10.648715290664157,9.468144452475162,11.775976473921942
A-s2718,D-s2718,global,15,uo,99,9,4000,0.48295641594820204,0.45025182123032964,-0.032704594717872404,-0.034320478489956625,-0.03129020061148505,6.771748679156186,6.513627618647493,7.05551870164338
A-s2718,D-s2718,global,15,vo,99,9,4000,0.5161964944460721,0.49359622441879886,-0.022600270027273217,-0.023055177724330637,-0.022206975326600237,4.378230048138054,4.305361603702622,4.462875297996669
A-s2718,D-s2718,global,15,zos,99,9,4000,0.03966082471409259,0.03856826755859822,-0.0010925571554943683,-0.0012807277525030756,-0.0008960964149565023,2.7547514792503836,2.2659804580167124,3.228342845010818
A-s2718,D-s2718,global,20,so,99,9,4000,0.07623757035783964,0.06836898484626758,-0.00786858551157206,-0.008586899561892694,-0.007160864504329199,10.321138875017832,9.27211676849492,11.378963499307414
