model,mode,region,lead_days,variable,normalized_rmse,levels,origins
ar,true,extratropics,25,uo,0.40629319369658834,19,99
ar,true,extratropics,25,vo,0.4898538598520965,19,99
ar,true,extratropics,25,zos,0.04809026154847986,1,99
ar,true,extratropics,30,so,0.04721764459901649,19,99
ar,true,extratropics,30,sst,0.04720662450240332,1,99
ar,true,extratropics,30,thetao,0.04317348412700716,18,99
ar,true,extratropics,30,uo,0.43001966003831427,19,99
ar,true,extratropics,30,vo,0.5186390070439564,19,99
ar,true,extratropics,30,zos,0.05101357784150845,1,99
ar,true,global,5,so,0.0218574300936618,19,99
ar,true,global,5,sst,0.02349403016144261,1,99
ar,true,global,5,thetao,0.017912753984885874,18,99
ar,true,global,5,uo,0.20658288904287223,19,99
ar,true,global,5,vo,0.2428119424480731,19,99
ar,true,global,5,zos,0.029794228454117694,1,99
ar,true,global,10,so,0.02895732669142366,19,99
ar,true,global,10,sst,0.02897360889808367,1,99
ar,true,global,10,thetao,0.023627933585574468,18,99
ar,true,global,10,uo,0.2786294715294474,19,99
ar,true,global,10,vo,0.3259602932540436,19,99
ar,true,global,10,zos,0.03298478529504163,1,99
ar,true,global,15,so,0.035288269124101795,19,99
ar,true,global,15,sst,0.03418948680186309,1,99
ar,true,global,15,thetao,0.029551292012722094,18,99
ar,true,global,15,uo,0.3249731810987027,19,99
ar,true,global,15,vo,0.37917321322259184,19,99
ar,true,global,15,zos,0.03663271560633759,1,99
ar,true,global,20,so,0.039892002920096,19,99
ar,true,global,20,sst,0.03792351697324663,1,99
ar,true,global,20,thetao,0.034059635840382775,18,99
ar,true,global,20,uo,0.35854124902649587,19,99
ar,true,global,20,vo,0.42003613835250664,19,99
ar,true,global,20,zos,0.03926035720966271,1,99
ar,true,global,25,so,0.044320557282732154,19,99
ar,true,global,25,sst,0.041088289652328094,1,99
ar,true,global,25,thetao,0.038286380032297965,18,99
ar,true,global,25,uo,0.38515699092695577,19,99
ar,true,global,25,vo,0.45212625516557364,19,99
ar,true,global,25,zos,0.04126980055717992,1,99
ar,true,global,30,so,0.04811174115488144,19,99
ar,true,global,30,sst,0.04412865407835712,1,99
ar,true,global,30,thetao,0.04200387702756016,18,99
ar,true,global,30,uo,0.4080201600877207,19,99
ar,true,global,30,vo,0.4800566308373468,19,99
ar,true,global,30,zos,0.04384824974363568,1,99
ar,true,tropics,5,so,0.022639243423711534,19,99
ar,true,tropics,5,sst,0.020802471434736822,1,99
ar,true,tropics,5,thetao,0.018232856869513644,18,99
ar,true,tropics,5,uo,0.20365156076037783,19,99
ar,true,tropics,5,vo,0.23351815099421852,19,99
ar,true,tropics,5,zos,0.01572961634685624,1,99
ar,true,tropics,10,so,0.030158276587865095,19,99
ar,true,tropics,10,sst,0.025651452900120345,1,99
ar,true,tropics,10,thetao,0.02332910769795433,18,99
ar,true,tropics,10,uo,0.26173882208940163,19,99
ar,true,tropics,10,vo,0.28677370411734693,19,99
ar,true,tropics,10,zos,0.01891366758923019,1,99
ar,true,tropics,15,so,0.03689005519206102,19,99
ar,true,tropics,15,sst,0.029864897258550547,1,99
ar,true,tropics,15,thetao,0.02881186049704769,18,99
ar,true,tropics,15,uo,0.3000446894496954,19,99
ar,true,tropics,15,vo,0.3235187163518175,19,99
ar,true,tropics,15,zos,0.021644574805041877,1,99
ar,true,tropics,20,so,0.041605347342071525,19,99
ar,true,tropics,20,sst,0.03308086993457962,1,99
ar,true,tropics,20,thetao,0.03291976523492145,18,99
ar,true,tropics,20,uo,0.32835184588012406,19,99
ar,true,tropics,20,vo,0.3579059985975183,19,99
ar,true,tropics,20,zos,0.02392657920908066,1,99
ar,true,tropics,25,so,0.045919612455252216,19,99
ar,true,tropics,25,sst,0.03563030658013534,1,99
ar,true,tropics,25,thetao,0.0367192354351427,18,99
ar,true,tropics,25,uo,0.35289821024950757,19,99
ar,true,tropics,25,vo,0.3872183804853019,19,99
ar,true,tropics,25,zos,0.02543500085189108,1,99
ar,true,tropics,30,so,0.049695535425631085,19,99
ar,true,tropics,30,sst,0.03821164104749518,1,99
ar,true,tropics,30,thetao,0.04009254952408475,18,99
ar,true,tropics,30,uo,0.3743926515838949,19,99
ar,true,tropics,30,vo,0.41401211982324515,19,99
ar,true,tropics,30,zos,0.02728888529353592,1,99
direct,climatology,extratropics,5,so,0.0777864057377242,19,99
direct,climatology,extratropics,5,sst,0.07311200015655696,1,99
direct,climatology,extratropics,5,thetao,0.09191245807182817,18,99
direct,climatology,extratropics,5,uo,0.6899944050188863,19,99
direct,climatology,extratropics,5,vo,0.8581522497249952,19,99
direct,climatology,extratropics,5,zos,0.09039623453279517,1,99
direct,climatology,extratropics,10,so,0.07766487132575801,19,99
direct,climatology,extratropics,10,sst,0.07325496879953892,1,99
direct,climatology,extratropics,10,thetao,0.09190867208852849,18,99
direct,climatology,extratropics,10,uo,0.6897988226947476,19,99
direct,climatology,extratropics,10,vo,0.8585551809568069,19,99
direct,climatology,extratropics,10,zos,0.09025192833132181,1,99
direct,climatology,extratropics,15,so,0.07770432870522445,19,99
direct,climatology,extratropics,15,sst,0.07180806235736377,1,99
direct,climatology,extratropics,15,thetao,0.09176994969044584,18,99
