index,date,members,mean_mse,sample_mse,d_mse,climatology_mse,crps,d_mae,spread_variance,coverage90,anomaly_correlation,mean_anomaly_m2,sample_anomaly_m2,truth_anomaly_m2,run,climatology_mae,fair_crps,coverage_minmax,calibrated_minmax_reference,calibrated_spread_rmse_reference,specialist_mse,specialist_mae
276,2018-08-16 12:00:00,16,0.0014707520554536,0.0016996592917026,0.0020172644431615,0.0028679006636355,0.0203241594245092,0.0308978855416235,0.000228907192337,0.3931241035461426,0.6990973089565017,0.0012315782062488,0.0014604853253992,0.0028679006636355,diffusion,0.035069778010158016,0.01993060985420331,0.4724025871225308,0.8823529411764706,0.9393364366277243,0.0013892277081270319,0.024699608115602827
282,2018-09-15 12:00:00,16,0.0016058157161207,0.0018398752873575,0.0021448638927119,0.0029473356173254,0.0219185741976064,0.03207113581812,0.000234059351677,0.3565665483474731,0.675126144639028,0.0012749212875459,0.0015089807416842,0.0029473356173254,diffusion,0.0354168597815851,0.021522305113601238,0.43598662162855817,0.8823529411764706,0.9393364366277243,0.00148003836799364,0.025335083125091355
288,2018-10-15 12:00:00,16,0.0015246575405743,0.0017619917719915,0.0020900758360275,0.0029501747881007,0.0216107470504446,0.0318432220698976,0.0002373343338783,0.3639395833015442,0.6987961186733535,0.0012416027765588,0.0014789371250744,0.0029501747881007,diffusion,0.035710328985659824,0.021210490661575907,0.44174857729137784,0.8823529411764706,0.9393364366277243,0.0014794742291025546,0.02587247440848379
294,2018-11-14 12:00:00,16,0.0014941967019291,0.0017279287485987,0.0020462521823943,0.0029473866722812,0.0215827376663245,0.0321889221208562,0.0002337320759441,0.3493190407752991,0.705873622016252,0.0013263145409659,0.0015600467047339,0.0029473866722812,diffusion,0.035721903780383056,0.021184530630842604,0.42478204539281705,0.8823529411764706,0.9393364366277243,0.0014618535442075308,0.025915904919448254
300,2018-12-14 12:00:00,16,0.001438831115332,0.0016774180667423,0.0019914629547246,0.0028651467405845,0.0212869707755773,0.0318573588567705,0.000238586892861,0.3430889248847961,0.7099514245437349,0.0013316777703927,0.001570264721803,0.0028651467405845,diffusion,0.03544241310029403,0.02088719478281103,0.4219368685864424,0.8823529411764706,0.9393364366277243,0.0014583154958614053,0.026137655396444102
306,2019-01-13 12:00:00,16,0.0014141410089717,0.001653590859394,0.0019656724735489,0.0028977036427815,0.0208120331225553,0.0314240482421268,0.0002394497040491,0.3602936565876007,0.716955255590483,0.0014277222127041,0.0016671717118308,0.0028977036427815,diffusion,0.03564531088604888,0.020413118085879468,0.43758815952389796,0.8823529411764706,0.9393364366277243,0.0013712291917035932,0.025266607040638978
312,2019-02-12 12:00:00,16,0.0014491333262387,0.0016919453094376,0.0019797125863907,0.0029558381410406,0.0212676426625588,0.0316338676428828,0.000242811851463,0.3600286245346069,0.7167100528956416,0.0012829863311811,0.001525798080183,0.0029558381410406,diffusion,0.035700280134443756,0.020867295309860097,0.4373125133523672,0.8823529411764706,0.9393364366277243,0.0013746812641458647,0.025268514518186746
318,2019-03-14 12:00:00,16,0.0014609285433067,0.0017004127035961,0.0020086991546383,0.0029413331470645,0.0216782673140409,0.0321351833090861,0.0002394841163774,0.3405700027942657,0.7120143778896061,0.0012841457236519,0.0015236298839413,0.0029413331470645,diffusion,0.03563137137064222,0.021284918003946853,0.40954565548543087,0.8823529411764706,0.9393364366277243,0.0014081269961604397,0.02570501315961454
324,2019-04-13 12:00:00,16,0.0015951925381639,0.0018245821032268,0.0020977418078983,0.0029376712420705,0.021835149718541,0.0319491568260235,0.0002293895357883,0.3496581614017486,0.6773440454307823,0.0011447546870877,0.0013741441350522,0.0029376712420705,diffusion,0.03559443584051668,0.02144265692226448,0.4252246915562523,0.8823529411764706,0.9393364366277243,0.0015074937740592726,0.026250612341378987
330,2019-05-13 12:00:00,16,0.0015182242648494,0.0017457134379915,0.0020920894622196,0.0029263862232648,0.0212262322596735,0.0322485999154127,0.0002274894366137,0.3538588285446167,0.6941807947208667,0.0012417817031011,0.0014692709933417,0.0029263862232648,diffusion,0.03552369589337253,0.020833631651476402,0.4336746737581052,0.8823529411764706,0.9393364366277243,0.0014742190516508725,0.02574632989913588
