run,field,zonal_wavenumber,power
deterministic,mean,93,1.391680758449728e-06
deterministic,mean,94,1.3336931247823923e-06
deterministic,mean,95,1.2843374417406144e-06
deterministic,mean,96,1.1654213218488073e-06
deterministic,mean,97,1.1863722637039802e-06
deterministic,mean,98,1.1393812611039584e-06
deterministic,mean,99,1.1151714487308788e-06
deterministic,mean,100,1.104630845417831e-06
deterministic,mean,101,1.0862778445904685e-06
deterministic,mean,102,1.0591899089979634e-06
deterministic,mean,103,1.048184383714907e-06
deterministic,mean,104,9.965001593602187e-07
deterministic,mean,105,9.870546479500861e-07
deterministic,mean,106,9.169408126608801e-07
deterministic,mean,107,8.959742533961891e-07
deterministic,mean,108,8.631184262968727e-07
deterministic,mean,109,8.430180197234934e-07
deterministic,mean,110,8.170943915970095e-07
deterministic,mean,111,7.97259644725669e-07
deterministic,mean,112,7.657937059279417e-07
deterministic,mean,113,7.543765209025653e-07
deterministic,mean,114,7.321555172894497e-07
deterministic,mean,115,7.103436487327224e-07
deterministic,mean,116,6.723771182080569e-07
deterministic,mean,117,6.804443906551769e-07
deterministic,mean,118,6.438788019131409e-07
deterministic,mean,119,6.246373948263743e-07
deterministic,mean,120,6.133336107142588e-07
deterministic,mean,121,5.811338354977256e-07
deterministic,mean,122,5.758701594897517e-07
deterministic,mean,123,5.503242999784067e-07
deterministic,mean,124,5.398982654361725e-07
deterministic,mean,125,5.097155405411156e-07
deterministic,mean,126,5.113207254351196e-07
deterministic,mean,127,4.862675224595567e-07
deterministic,mean,128,4.772476347064021e-07
deterministic,mean,129,4.6325631045527877e-07
deterministic,mean,130,4.57969912926576e-07
deterministic,mean,131,4.3291226891476456e-07
deterministic,mean,132,4.22832951721152e-07
deterministic,mean,133,4.146793369854824e-07
deterministic,mean,134,4.054304256448483e-07
deterministic,mean,135,3.938199949264585e-07
deterministic,mean,136,3.7418707616741196e-07
deterministic,mean,137,3.7944919791326507e-07
deterministic,mean,138,3.6516583005572063e-07
deterministic,mean,139,3.528959815006792e-07
deterministic,mean,140,3.4436715687627434e-07
deterministic,mean,141,3.2874775130863093e-07
deterministic,mean,142,3.165944292091149e-07
deterministic,mean,143,3.0459156108055845e-07
deterministic,mean,144,3.045667664458909e-07
deterministic,mean,145,2.9877843344316035e-07
deterministic,mean,146,2.8449984824006467e-07
deterministic,mean,147,2.7556107524879904e-07
deterministic,mean,148,2.703255801353449e-07
deterministic,mean,149,2.6400595298144074e-07
deterministic,mean,150,2.5894215270512336e-07
deterministic,mean,151,2.4553550739028024e-07
deterministic,mean,152,2.4828832095057304e-07
deterministic,mean,153,2.3883480601025926e-07
deterministic,mean,154,2.3401941775243483e-07
deterministic,mean,155,2.2939639120871716e-07
deterministic,mean,156,2.2661028075775364e-07
deterministic,mean,157,2.2319607250687675e-07
deterministic,mean,158,2.1505503969408392e-07
deterministic,mean,159,2.0380511754244516e-07
deterministic,mean,160,1.9960579489301044e-07
deterministic,mean,161,2.0081758300447328e-07
deterministic,mean,162,1.968951165448112e-07
deterministic,mean,163,1.9373254228924535e-07
deterministic,mean,164,1.8866256716516308e-07
deterministic,mean,165,1.8775349562740956e-07
deterministic,mean,166,1.854299663826674e-07
deterministic,mean,167,1.843359924589265e-07
deterministic,mean,168,1.797156452767097e-07
deterministic,mean,169,1.735828140230068e-07
deterministic,mean,170,1.7281408762646086e-07
deterministic,mean,171,1.721816415494576e-07
deterministic,mean,172,1.7108336961358647e-07
deterministic,mean,173,1.6626445940806666e-07
deterministic,mean,174,1.711493310734296e-07
deterministic,mean,175,1.630657928191555e-07
deterministic,mean,176,1.60860487474717e-07
deterministic,mean,177,1.6406809578009914e-07
deterministic,mean,178,1.6235110339275642e-07
deterministic,mean,179,1.655018178358803e-07
deterministic,mean,180,1.650504499135956e-07
deterministic,sample0,0,4.190016218002179e-05
deterministic,sample0,1,3.865794269373686e-05
deterministic,sample0,2,3.286080298259019e-05
deterministic,sample0,3,1.833136909337725e-05
deterministic,sample0,4,1.4441103153092721e-05
deterministic,sample0,5,1.1500929194660758e-05
deterministic,sample0,6,1.1028185283320177e-05
deterministic,sample0,7,1.0344096793955246e-05
deterministic,sample0,8,7.741741875287374e-06
deterministic,sample0,9,7.467401462438537e-06
deterministic,sample0,10,7.3719884158766875e-06
deterministic,sample0,11,6.60837220515487e-06
deterministic,sample0,12,5.504436099245098e-06
deterministic,sample0,13,5.370148965878519e-06
deterministic,sample0,14,5.0720251646420596e-06
deterministic,sample0,15,4.648561718795041e-06
deterministic,sample0,16,4.421188854722039e-06
deterministic,sample0,17,4.124968225607676e-06
