candidate,reader,workload,median_wall_seconds,median_process_cpu_seconds,byte_metrics_valid
E,zarrs,halo_32_784,0.31115305912680924,0.48415133199999616,False
E,zarrs,union_1472,1.063845117809251,1.579845591999998,False
E,zarrs,misaligned_720,0.2512038790155202,0.3852684049999979,False
E,zarrs,shallow_17_halo,0.09626580402255058,0.15552120899999977,False
E,zarrs,point_series,0.002450800035148859,0.010476905999993846,False
E,zarrs,pair_aligned,0.4299851469695568,0.651678528000005,False
E,zarrs,pair_offset,0.47520688315853477,0.6849710669999993,False
E,zarrs,independent_four_752,1.1016659601591527,1.7444004159999977,False
E,tensorstore,aligned_720,0.17579567502252758,0.318124957000002,False
E,tensorstore,halo_16_752,0.18604529183357954,0.43589512000000497,False
E,tensorstore,halo_32_784,0.2047670150641352,0.4390289549999977,False
E,tensorstore,union_1472,0.7098499790299684,1.3779108829999984,False
E,tensorstore,misaligned_720,0.1657852039206773,0.3463403799999938,False
E,tensorstore,shallow_17_halo,0.05666276812553406,0.14415553300000283,False
E,tensorstore,point_series,0.001204857835546136,0.006725779999996462,False
E,tensorstore,pair_aligned,0.3692301958799362,0.6765119249999998,False
E,tensorstore,pair_offset,0.34660097188316286,0.6347651330000019,False
E,tensorstore,independent_four_752,0.6759038490708917,1.528086284000004,False
