candidate,reader,workload,trial,wall_seconds,process_cpu_seconds,byte_metrics_valid,observed_data_returned_bytes,observed_data_calls,observed_unique_data_objects
D,zarrs,aligned_720,2,0.18615052988752723,0.34039216499999725,False,,,
D,zarrs,halo_16_752,0,0.29273325810208917,0.4761857660000004,False,,,
D,zarrs,halo_16_752,1,0.3081453889608383,0.477854114000003,False,,,
D,zarrs,halo_16_752,2,0.32159702107310295,0.47571235399999523,False,,,
D,zarrs,halo_32_784,0,0.33422014489769936,0.49531275000000363,False,,,
D,zarrs,halo_32_784,1,0.29952738294377923,0.44772419799999597,False,,,
D,zarrs,halo_32_784,2,0.3205651240423322,0.4729913950000011,False,,,
D,zarrs,union_1472,0,1.118706604000181,1.5693608340000011,False,,,
D,zarrs,union_1472,1,1.1255574759561568,1.556409561999999,False,,,
D,zarrs,union_1472,2,1.0475932678673416,1.4915221709999997,False,,,
D,zarrs,misaligned_720,0,0.2793862021062523,0.3874907560000054,False,,,
D,zarrs,misaligned_720,1,0.24076092895120382,0.34679806199999774,False,,,
D,zarrs,misaligned_720,2,0.2691912411246449,0.37850820000000596,False,,,
D,zarrs,shallow_17_halo,0,0.09912923187948763,0.15250564800000177,False,,,
D,zarrs,shallow_17_halo,1,0.09515318600460887,0.14819956800000256,False,,,
D,zarrs,shallow_17_halo,2,0.0976865398697555,0.1506982619999988,False,,,
D,zarrs,point_series,0,0.0035863190423697233,0.010174189999993644,False,,,
D,zarrs,point_series,1,0.002600940875709057,0.007591046000001711,False,,,
D,zarrs,point_series,2,0.0027365980204194784,0.007217719999999872,False,,,
D,zarrs,pair_aligned,0,0.4448986330535263,0.6148658749999996,False,,,
D,zarrs,pair_aligned,1,0.4788373208139092,0.6507630520000021,False,,,
D,zarrs,pair_aligned,2,0.5130944168195128,0.6916862949999967,False,,,
D,zarrs,pair_offset,0,0.5476356958970428,0.7257475600000021,False,,,
D,zarrs,pair_offset,1,0.5277403981890529,0.7045759370000013,False,,,
D,zarrs,pair_offset,2,0.5181097390595824,0.6864424919999976,False,,,
D,zarrs,independent_four_752,0,1.1283090959768742,1.7132165259999965,False,,,
D,zarrs,independent_four_752,1,1.1273092089686543,1.7003868170000018,False,,,
D,zarrs,independent_four_752,2,1.1170128060039133,1.6767222109999977,False,,,
D,tensorstore,aligned_720,0,0.17553407605737448,0.34983319700000237,False,,,
D,tensorstore,aligned_720,1,0.17302752984687686,0.33432038200000136,False,,,
D,tensorstore,aligned_720,2,0.18237764295190573,0.35429408399999573,False,,,
D,tensorstore,halo_16_752,0,0.21221544197760522,0.5028380030000008,False,,,
D,tensorstore,halo_16_752,1,0.1934488108381629,0.39787481500000155,False,,,
D,tensorstore,halo_16_752,2,0.19504027301445603,0.4087737340000004,False,,,
D,tensorstore,halo_32_784,0,0.21390300593338907,0.4583752210000043,False,,,
D,tensorstore,halo_32_784,1,0.2057195871602744,0.44778408599999864,False,,,
D,tensorstore,halo_32_784,2,0.20696381316520274,0.442893392000002,False,,,
D,tensorstore,union_1472,0,0.7197098368778825,1.4135310590000003,False,,,
D,tensorstore,union_1472,1,0.7111362291034311,1.464069148,False,,,
D,tensorstore,union_1472,2,0.7216565599665046,1.4863395630000014,False,,,
D,tensorstore,misaligned_720,0,0.17592278495430946,0.37571657200000175,False,,,
D,tensorstore,misaligned_720,1,0.16608829284086823,0.3581931319999967,False,,,
D,tensorstore,misaligned_720,2,0.16566098504699767,0.358015604000002,False,,,
D,tensorstore,shallow_17_halo,0,0.05751473596319556,0.12685415499999664,False,,,
D,tensorstore,shallow_17_halo,1,0.05831704894080758,0.15895727799999548,False,,,
D,tensorstore,shallow_17_halo,2,0.06162646086886525,0.15319310299999955,False,,,
D,tensorstore,point_series,0,0.0017593398224562407,0.00795345499999911,False,,,
D,tensorstore,point_series,1,0.0012307888828217983,0.007000947999998175,False,,,
D,tensorstore,point_series,2,0.001284038182348013,0.007544741000003796,False,,,
D,tensorstore,pair_aligned,0,0.35220494493842125,0.7093929890000013,False,,,
D,tensorstore,pair_aligned,1,0.3464597868733108,0.6564039410000007,False,,,
D,tensorstore,pair_aligned,2,0.3446004041470587,0.6721036819999995,False,,,
D,tensorstore,pair_offset,0,0.36559644900262356,0.7068547439999975,False,,,
D,tensorstore,pair_offset,1,0.3520495519042015,0.7261696110000031,False,,,
D,tensorstore,pair_offset,2,0.34259833791293204,0.6263166869999992,False,,,
D,tensorstore,independent_four_752,0,0.6999953298363835,1.5782839959999961,False,,,
D,tensorstore,independent_four_752,1,0.6819812981411815,1.5523820330000007,False,,,
